,glottocode,name,isocodes,latitude,longitude
3,aari1240,Aariya,aay,0.0,0.0
13,abai1241,Abai Tubu-Abai Sembuak,0,0.0,0.0
55,abua1245,Abu' Arapesh,aah,0.0,0.0
77,achi1258,"Achi', Cubulco",acc,0.0,0.0
109,adha1238,Adhari,0,0.0,0.0
132,adur1234,Adurgari,0,0.0,0.0
135,adze1241,Adzera (Retired),azr,0.0,0.0
150,afgh1240,Afghanistan Gorbat,0,0.0,0.0
151,afgh1239,Afghan Sign Language,afg,0.0,0.0
161,afud1235,Afudu,0,0.0,0.0
174,agbi1234,Agbirigba,0,0.0,0.0
183,aghu1256,Aghu Tharnggalu (Retired),gtu,0.0,0.0
193,agta1234,Agta-Pahanan,apf,0.0,0.0
212,ahea1240,Ahe,ahe,0.0,0.0
232,aiku1240,Aiku,mzf,0.0,0.0
298,akeu1235,Akeu,aeu,0.0,0.0
309,akka1240,Akkadian,akk,0.0,0.0
349,alag1249,Alaguilac,0,0.0,0.0
367,alba1271,Albanian Sign Language,sqk,0.0,0.0
395,alip1234,Alipur Sign Language,0,0.0,0.0
411,alsa1242,Al-Sayyid Bedouin Sign Language,syy,0.0,0.0
443,amam1246,Amam,0,0.0,0.0
444,amam1247,Amami O Shima Sign Language,0,0.0,0.0
451,amap1241,Amapá Creole,amd,0.0,0.0
471,ambe1246,Ambermo,0,0.0,0.0
487,amer1256,Amerax,aex,0.0,0.0
488,amer1255,American Indian Pidgin English,0,0.0,0.0
496,amik1238,Amikoana,akn,0.0,0.0
501,ammo1234,Ammonite,qgg,0.0,0.0
505,amor1239,Amorite,0,0.0,0.0
508,amot1239,Amotomanco,0,0.0,0.0
542,anau1243,Anauyá,0,0.0,0.0
548,anci1248,Ancient Ligurian,0,0.0,0.0
549,anci1245,Ancient North Arabian,xna,0.0,0.0
556,anda1287,Andalusian Arabic,xaa,0.0,0.0
583,anga1316,Angaité,aqt,0.0,0.0
588,anga1315,Angami Naga Sign Language,0,0.0,0.0
590,angg1238,Anggamuthi,0,0.0,0.0
606,angu1242,Anguthimri,awg,0.0,0.0
672,apal1237,Apalachee,xap,0.0,0.0
693,apot1235,Apoto,0,0.0,0.0
699,apul1236,Apulia-Calabrian Greek,0,0.0,0.0
707,arac1235,Aracaju,0,0.0,0.0
709,araf1245,Arafundi-Enga Pidgin,0,0.0,0.0
712,arak1256,Arakanese,mhv,0.0,0.0
716,arak1254,Arakwal,rkw,0.0,0.0
723,aran1265,Aranama,0,0.0,0.0
748,east2303,Archaic Finnish Swedish,0,0.0,0.0
749,gutn1238,Archaic Gutnish,0,0.0,0.0
750,arch1246,Archaic Norrlandic,0,0.0,0.0
814,arub1238,Aruba,0,0.0,0.0
821,arus1242,Arusha,0,0.0,0.0
904,athi1234,Athima,0,0.0,0.0
928,atta1243,Attapady Kurumba,pkr,0.0,0.0
932,atue1238,Atuence,atf,0.0,0.0
961,auve1240,Auvergnat,auv,0.0,0.0
986,avok1244,Avok,0,0.0,0.0
1086,baca1245,Bacama-Yimburu,0,0.0,0.0
1091,bact1239,Bactrian,xbc,0.0,0.0
1110,baen1237,Baenan,0,0.0,0.0
1145,bagu1249,Bagua,0,0.0,0.0
1157,baha1262,Bahau River Kenyah,bwv,0.0,0.0
1178,baim1246,Bai-Maclay,0,0.0,0.0
1226,baku1265,Bakung Kenyah,boc,0.0,0.0
1326,bana1306,Banawá,bnh,0.0,0.0
1403,bant1298,Bantang,0,0.0,0.0
1408,bant1293,Bantayanon,bfx,0.0,0.0
1504,barr1252,Barranbinya,0,0.0,0.0
1544,basq1252,Basque-Amerindian Pidgin,0,0.0,0.0
1557,basu1243,Basum,0,0.0,0.0
1618,baux1234,Bauxite Pidgin,0,0.0,0.0
1630,bayb1234,Baybayanon,bvy,0.0,0.0
1707,belg1241,Belgian Sign Language,bvs,0.0,0.0
1715,bell1264,Belle-Isle Pidgin,0,0.0,0.0
1716,beln1234,Belneng,0,0.0,0.0
1719,belu1239,Belueli,0,0.0,0.0
1750,beng1290,Bengkulu,bke,0.0,0.0
1867,biag1234,Biage,bdf,0.0,0.0
1885,bida1238,Bidai,0,0.0,0.0
1952,bina1274,Binahari-Ma,0,0.0,0.0
1960,bind1234,Bindal-Cunningham,0,0.0,0.0
1961,bind1235,Bindal-Gorton,0,0.0,0.0
1962,bind1236,Bindal-Mount Elliot,0,0.0,0.0
2011,bisu1247,Bisu (Retired),bii,0.0,0.0
2116,bolg1250,Bolgarian,xbo,0.0,0.0
2161,bona1255,Bonari,0,0.0,0.0
2185,boni1239,Bonin English Pidgin,0,0.0,0.0
2213,borg1236,Borgarmalet,0,0.0,0.0
2290,brib1244,Bribri Sign Language,0,0.0,0.0
2294,brok1252,Broken Oghibbeway,0,0.0,0.0
2295,brok1250,Broken Slavey,0,0.0,0.0
2304,brun1247,Brunca Sign Language,0,0.0,0.0
2347,buga1251,Bugan (Retired),bgh,0.0,0.0
2416,buma1247,Bumang,bvp,0.0,0.0
2438,bung1264,Bunganditj,xbg,0.0,0.0
2465,bura1295,Bura Sign Language,0,0.0,0.0
2473,burk1234,Burkina Faso Sign Language,0,0.0,0.0
2474,burm1262,Burma Pyu,0,0.0,0.0
2489,buru1323,Burundi Pidgin French,0,0.0,0.0
2517,butl1235,Butler English,0,0.0,0.0
2524,buxi1237,Buxinhua,bxt,0.0,0.0
2597,calc1235,Calchaqui,0,0.0,0.0
2602,calo1236,Caló,rmq,0.0,0.0
2603,calu1239,Calusa,0,0.0,0.0
2612,camb1244,Cambodian Sign Language,0,0.0,0.0
2629,camu1235,Camunic,xcc,0.0,0.0
2657,cari1274,Carian,xcr,0.0,0.0
2669,caru1240,Carútana,cru,0.0,0.0
2675,casp1241,Caspian and eastern Persia Gypsy,0,0.0,0.0
2676,cast1245,Castelmezzano,0,0.0,0.0
2684,catu1242,Catuquinaru-Bach,0,0.0,0.0
2686,cauh1234,Cauho,0,0.0,0.0
2704,celt1247,Celtiberian,xce,0.0,0.0
2706,cenn1238,Cen,cen,0.0,0.0
2731,cent2292,Central Bontoc,lbk,0.0,0.0
2736,cent2314,Central Chong,0,0.0,0.0
2765,cent2300,Central Ju,0,0.0,0.0
2827,cent2304,Central-Southern Persian Gypsy,0,0.0,0.0
2832,cent2319,Central Taurus Sign Language,0,0.0,0.0
2862,chac1253,Chacha,0,0.0,0.0
2878,chai1254,Chairel,0,0.0,0.0
2881,chak1275,Chakato,0,0.0,0.0
2944,chat1269,Chatino Sign Language,0,0.0,0.0
2972,chep1243,Chepya,ycp,0.0,0.0
2988,chho1235,Chholo,0,0.0,0.0
3023,chim1310,Chimakum,xch,0.0,0.0
3038,kjac1234,Chinese Pidgin Russian,0,0.0,0.0
3061,chir1296,Chiriqui Sign Languages,0,0.0,0.0
3078,chit1285,Chittagonian (Retired),cit,0.0,0.0
3094,chol1283,Cholti,0,0.0,0.0
3095,chol1285,"Chol, Tila",cti,0.0,0.0
3118,chuj1251,"Chuj, Ixtatán",cnm,0.0,0.0
3125,chum1264,Chumash,chs,0.0,0.0
3142,chuv1256,Chuvantsy,xcv,0.0,0.0
3166,cisa1237,Cisalpine Gaulish,xcg,0.0,0.0
3174,clas1249,Classical Armenian,xcl,0.0,0.0
3179,clas1254,Classical Tibetan,xct,0.0,0.0
3218,coli1235,Colima,0,0.0,0.0
3237,conc1237,Concho,0,0.0,0.0
3249,copa1238,Copallen,0,0.0,0.0
3262,cosa1234,Cosao,0,0.0,0.0
3300,cuev1238,Cueva,0,0.0,0.0
3309,cune1239,Cuneiform Luwian,xlu,0.0,0.0
3318,cusa1237,Cusabo,0,0.0,0.0
3320,tait1247,Cushitic Taita,0,0.0,0.0
3330,cypr1249,Cypriot Greek,0,0.0,0.0
3341,daat1234,Daats'iin,dtn,0.0,0.0
3351,daci1234,Dacian,xdc,0.0,0.0
3402,dale1238,Dalecarlian,qer,0.0,0.0
3413,dama1268,Damakawa,dam,0.0,0.0
3417,dama1262,Dama (Sierra Leone),0,0.0,0.0
3469,dara1255,Darang Deng,dat,0.0,0.0
3522,daya1245,Dayao Yi,yio,0.0,0.0
3550,dege1245,Degere,0,0.0,0.0
3682,dima1246,Dima-Bottego,0,0.0,0.0
3710,diti1235,Ditidaht,dtd,0.0,0.0
3856,doty1234,Dotyali,dty,0.0,0.0
3908,dume1236,Dume,0,0.0,0.0
3952,duvl1238,Duvle-Wano-Pidgin,0,0.0,0.0
3992,earl1245,Early East African Pidgin Arabic,0,0.0,0.0
4014,east2776,Eastern Angkuic,0,0.0,0.0
4038,east2695,Eastern Durango Nahuatl,azd,0.0,0.0
4073,east2779,Eastern Khumi Chin,cek,0.0,0.0
4109,east2773,Eastern Newari,0,0.0,0.0
4129,east2694,Eastern Subanen,sfe,0.0,0.0
4204,ebla1238,Eblaite,xeb,0.0,0.0
4229,edom1234,Edomite,xdm,0.0,0.0
4232,efat1235,Efatese,0,0.0,0.0
4245,egbu1235,Egbuta,0,0.0,0.0
4312,elym1237,Elymian,xly,0.0,0.0
4353,enga1253,Enga Sign Language,0,0.0,0.0
4360,enim1238,Enim,eni,0.0,0.0
4370,envu1234,Envuelto,0,0.0,0.0
4380,epig1241,Epigraphic Mayan,emy,0.0,0.0
4383,erav1242,Eravallan,era,0.0,0.0
4400,erro1240,Erromintxela,emx,0.0,0.0
4417,eska1234,Eskayan,esy,0.0,0.0
4441,eteo1236,Eteocretan,ecr,0.0,0.0
4442,eteo1240,Eteocypriot,ecy,0.0,0.0
4456,euro1250,Europanto,eur,0.0,0.0
4467,ewon1240,Ewondo Populaire,0,0.0,0.0
4469,extr1248,Extreme North Cameroon Sign Language,0,0.0,0.0
4483,faet1240,Faeto and Celle San Vito Francoprovencal,0,0.0,0.0
4496,fala1245,Falam Chin (Retired),flm,0.0,0.0
4502,fali1291,Faliscan,xfa,0.0,0.0
4522,fnqi1234,Far North Queensland Indigenous Sign Language,0,0.0,0.0
4536,fayj1234,Fayjatases,0,0.0,0.0
4570,fioo1234,Fio,0,0.0,0.0
4581,flec1235,Flecheiros,0,0.0,0.0
4591,foia1236,Foia Foia,ffi,0.0,0.0
4619,fran1267,Francais Tirailleur,0,0.0,0.0
4711,gala1252,Galatian,xga,0.0,0.0
4739,gamb1259,Gambian Sign Language,0,0.0,0.0
4743,game1240,Gamella,0,0.0,0.0
4761,gana1278,Ganai,unn,0.0,0.0
4779,gang1272,Gangou,0,0.0,0.0
4803,gard1245,Gardiol,0,0.0,0.0
4818,garr1261,Garreh-Ajuran,ggh,0.0,0.0
4823,gasc1241,Gascon (Retired),gsc,0.0,0.0
4937,gema1236,Geman Deng,gen,0.0,0.0
4950,geor1254,Georgian Sign Language,0,0.0,0.0
4974,ghan1245,Ghandruk Sign Language,gds,0.0,0.0
4976,ghar1240,Ghardaia Sign Language,0,0.0,0.0
5053,giya1234,Giya,0,0.0,0.0
5118,gooa1234,Goo,0,0.0,0.0
5195,guac1240,Guachipas,0,0.0,0.0
5198,guai1246,Guaicaro,0,0.0,0.0
5202,gual1239,Guale,0,0.0,0.0
5242,gugu1257,Gugu Mini,ggm,0.0,0.0
5258,guin1260,Guinea-Bissau Sign Language,0,0.0,0.0
5282,gulf1242,Gulf Coast French,0,0.0,0.0
5287,gulu1236,Gulunggulu,0,0.0,0.0
5325,guri1249,Gurindji Kriol,gjr,0.0,0.0
5343,guti1235,Gutian,0,0.0,0.0
5352,guya1250,Guyambal,0,0.0,0.0
5353,guya1253,Guyana Sign Language,0,0.0,0.0
5407,hach1239,Hachijo,0,0.0,0.0
5416,hadr1235,Hadrami,xhd,0.0,0.0
5471,hamb1239,Hamba NW of Nachingwea south of Mbemkuru River,0,0.0,0.0
5505,hara1272,Harappan,0,0.0,0.0
5543,haun1238,Hauna Trade Langauge,0,0.0,0.0
5611,hezh1244,Hezhou,0,0.0,0.0
5619,hier1240,Hieroglyphic Luwian,hlu,0.0,0.0
5656,hitt1242,Hittite,hit,0.0,0.0
5678,hmon1338,Hmong Njua (Retired),blu,0.0,0.0
5697,hoia1235,Hoia Hoia,hhi,0.0,0.0
5713,homs1234,Homshetsma,0,0.0,0.0
5719,hong1241,Hong Kong-Macau Sign Language,hks,0.0,0.0
5730,hora1238,Horace Holden's Pidgin Tobi,0,0.0,0.0
5745,hott1234,Hottentot Dutch,0,0.0,0.0
5748,hoxa1234,Hoxa,0,0.0,0.0
5749,hoya1235,Hoyahoya,hhy,0.0,0.0
5776,huas1255,"Huastec, San Luís Potosí",hva,0.0,0.0
5777,huas1256,"Huastec, Southeastern",hsf,0.0,0.0
5821,hung1280,Hungu,0,0.0,0.0
5826,riog1239,Hunsrik,hrx,0.0,0.0
5899,idab1234,Idabaez,0,0.0,0.0
5967,ikar1243,Ikaranggal,ikr,0.0,0.0
6015,illy1234,Illyrian,xil,0.0,0.0
6030,imba1237,Imbabura,0,0.0,0.0
6047,imun1234,Imunga Trade Language,0,0.0,0.0
6095,inte1259,International Sign,ils,0.0,0.0
6098,inui1247,Inuit Sign Language,iks,0.0,0.0
6103,ioit1234,Ioi Trade Jargon,0,0.0,0.0
6112,ipek1240,Ipeka-Tapuia,paj,0.0,0.0
6127,iraq1246,Iraqi Sign Language,0,0.0,0.0
6174,isla1277,Island Takic,0,0.0,0.0
6226,itut1240,Itutang,itu,0.0,0.0
6252,ixil1252,"Ixil, Chajul",ixj,0.0,0.0
6253,ixil1253,"Ixil, Nebaj",ixi,0.0,0.0
6272,izer1243,Izere (Retired),fiz,0.0,0.0
6301,jaka1246,"Jakalteko, Western",jai,0.0,0.0
6315,jama1263,Jamaican Sign Language,jls,0.0,0.0
6349,jarg1234,Jargon Loucheux,0,0.0,0.0
6352,jaru1257,Jaruára,jap,0.0,0.0
6367,javi1237,Javindo,jvd,0.0,0.0
6389,jeju1234,Jejueo,jje,0.0,0.0
6402,jeni1237,Jenipapo-Kanindé,0,0.0,0.0
6417,jhan1234,Jhankot Sign Language,jhs,0.0,0.0
6433,jiar1242,Jiarong,0,0.0,0.0
6486,joek1234,Joeka-Oajana Pidgin,0,0.0,0.0
6488,jofo1235,Jofotek-Bromnya,jbr,0.0,0.0
6501,jord1239,Jordanian Bengali Pidgin Arabic,0,0.0,0.0
6519,jude1268,Judeo-Hamadani,0,0.0,0.0
6533,julu1237,Julud,0,0.0,0.0
6536,juma1248,Jumano,0,0.0,0.0
6538,juml1239,Jumla Sign Language,jus,0.0,0.0
6631,kaer1234,Kaera,jka,0.0,0.0
6639,kafr1234,Kafr Qasem Sign Language,0,0.0,0.0
6657,kaha1240,Kahayan,xah,0.0,0.0
6660,kahu1242,Kahumamahon Saluan,slb,0.0,0.0
6679,kain1277,Kainuu Saami,0,0.0,0.0
6696,kaja1257,Kajana Sign Language,0,0.0,0.0
6720,kala1401,Kalaamaya,lkm,0.0,0.0
6735,kala1255,Kalanadi,wkl,0.0,0.0
6905,kant1247,Kantarure,0,0.0,0.0
6936,kaqc1277,"Kaqchikel, Akatenango Southwestern",ckk,0.0,0.0
6937,kaqc1273,"Kaqchikel, Eastern",cke,0.0,0.0
6938,kaqc1275,"Kaqchikel, Northern",ckc,0.0,0.0
6939,kaqc1276,"Kaqchikel, Santa María de Jesús",cki,0.0,0.0
6940,kaqc1278,"Kaqchikel, Santo Domingo Xenacoj",ckj,0.0,0.0
6941,kaqc1272,"Kaqchikel, South Central",ckd,0.0,0.0
6942,kaqc1274,"Kaqchikel, Southern",ckf,0.0,0.0
6943,kaqc1279,"Kaqchikel, Western",ckw,0.0,0.0
6944,kaqc1271,"Kaqchikel, Yepocapa Southwestern",cbm,0.0,0.0
6945,kara1506,Kara,0,0.0,0.0
7035,karr1236,Karruwali,0,0.0,0.0
7064,kass1244,Kassite,0,0.0,0.0
7085,kath1253,Kathlamet,0,0.0,0.0
7092,kati1278,Katingan,kxg,0.0,0.0
7128,kawa1290,Kawarrang-Ogh Undjan,0,0.0,0.0
7129,kawa1291,Kawaway,0,0.0,0.0
7132,kawi1241,Kawi,kaw,0.0,0.0
7145,kaya1334,Kayan River Kenyah,knh,0.0,0.0
7158,kayu1244,Kayu Agung,vky,0.0,0.0
7271,kere1299,Keresan Pueblo Indian Sign Language,0,0.0,0.0
7324,kham1281,Khamnigan Mongol,0,0.0,0.0
