,glottocode,name,isocodes,macroarea,latitude,longitude
2,aari1239,Aari,aiw,Africa,5.95034,36.5721
4,aasa1238,Aasax,aas,Africa,-4.00679,36.8648
8,abad1241,Abadi,kbt,Papunesia,-9.03389,146.992
10,abag1245,Abaga,abg,Papunesia,-6.12028,145.665
12,abai1240,Abai Sungai,abf,Papunesia,5.55394,118.306
19,aban1242,Abanyom,abm,Africa,6.30619,8.63055
20,abau1245,Abau,aau,Papunesia,-3.97222,141.324
23,abaz1241,Abaza,abq,Eurasia,41.1214,42.7273
27,abee1242,Abé,aba,Africa,5.59682,-4.38497
32,aben1249,Abenlen Ayta,abp,Papunesia,15.4131,120.2
34,abid1235,Abidji,abi,Africa,5.65656,-4.58421
39,abin1243,Abinomn,bsa,Papunesia,-2.92281,138.891
40,abip1241,Abipon,axb,South America,-29.0,-61.0
42,abkh1244,Abkhazian,abk,Eurasia,43.056218,41.159115
46,abom1238,Abom,aob,Papunesia,-8.42448,142.842
47,abon1238,Abon,abo,Africa,6.90621,10.8769
50,abro1238,Abron,abr,Africa,7.72094,-2.50289
53,abuu1241,Abu,ado,Papunesia,-4.24027,144.474
54,abua1244,Abua,abn,Africa,4.83057,6.61492
56,abui1241,Abui,abz,Papunesia,-8.31058,124.588
59,abun1252,Abun,kgr,Papunesia,-0.57073,132.416
63,abur1243,Abure,abu,Africa,5.21534,-3.64123
64,abur1244,Abureni,mgj,Africa,4.62301,6.50634
69,acat1239,Acatepec Me'phaa,tpx,North America,17.1034,-99.0602
71,acha1250,Achagua,aca,South America,4.38649,-72.2005
72,ache1244,Ache,yif,Eurasia,24.152,102.446
73,ache1246,Aché,guq,South America,-25.5865,-56.4697
74,ache1245,Acheron,acz,Africa,10.8827,30.3187
75,achi1256,Achi,acr,North America,15.073,-90.3513
79,achi1257,Achinese,ace,Eurasia,3.90757,96.6032
81,acht1238,Achterhoeks,act,Eurasia,52.021,6.47521
83,achu1248,Achuar-Shiwiar,acu,South America,-2.82646,-77.2641
84,achu1247,Achumawi,acv,North America,41.0979,-121.191
86,acol1236,Acoli,ach,Africa,3.57738,32.5147
88,acro1239,Acroá,acs,South America,-12.594,-40.21445
90,adab1235,Adabe,adb,Papunesia,-8.22674,125.576
91,adai1235,Adai,xad,North America,31.6314,-92.0059
92,adam1253,Adamawa Fulfulde,fub,Africa,8.140326,13.077338
93,adam1238,Adamorobe Sign Language,ads,Africa,5.834,-0.151
95,adan1251,Adang,adn,Papunesia,-8.18958,124.448
96,adan1248,Adangbe,adq,Africa,6.50546,0.727155
98,adan1247,Adangme,ada,Africa,5.9437,0.13243
99,adap1234,Adap,adp,Eurasia,27.141,90.3369
101,adas1235,Adasen,tiu,Papunesia,17.8187,120.905
102,adel1244,Adele,ade,Africa,8.16975,0.619185
110,adho1243,Adhola,adh,Africa,0.73235,34.0341
117,adio1239,Adioukrou,adj,Africa,5.38228,-4.52522
119,adiw1235,Adiwasi Garasia,gas,Eurasia,24.0712,73.1426
124,adny1235,Adnyamathanha,adt,Australia,-30.1451,138.671
127,adon1237,Adonara,adr,Papunesia,-8.32027,123.159
130,adug1238,Aduge,adu,Africa,7.64567,6.13085
133,adyg1241,Adyghe,ady,Eurasia,44.0,39.33
134,adze1240,Adzera,adz,Papunesia,-6.39394,146.294
138,aeka1244,Aeka,aez,Papunesia,-8.79019,148.09
139,aeky1238,Aekyom,awi,Papunesia,-5.88478,141.532
141,aerr1238,Aer,aeq,Eurasia,25.254,69.029
142,abis1238,Aewa,ash,South America,-0.69386,-75.2183
145,afad1236,Afade,aal,Africa,12.0551,14.6343
146,afar1241,Afar,aar,Africa,12.2281,41.8083
154,afit1238,Afitti,aft,Africa,12.446,30.7611
157,afri1274,Afrikaans,afr,Africa,-22.0,30.0
159,afro1254,Afro-Seminole Creole,afs,North America,31.7843,-99.2934
167,agar1252,Agarabi,agd,Papunesia,-6.20604,145.917
169,agar1251,Agariya,agi,Eurasia,24.5024,82.297
170,agat1236,Agatu,agc,Africa,7.97915,7.71639
172,agav1236,Agavotaguerra,avo,South America,-13.29849,-53.43936
178,aghe1239,Aghem,agq,Africa,6.38956,10.0807
180,aghu1255,Aghu,ahh,Papunesia,-6.34674,140.043
181,aghu1253,Aghul,agx,Eurasia,41.9242,47.5843
182,aghu1254,Aghu Tharnggalu,ggr,Australia,-13.735,142.426
184,aghw1237,Aghwan,xag,Eurasia,40.374444,47.126667
185,agii1245,Agi,aif,Papunesia,-3.49104,142.387
188,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532
189,agoi1246,Agoi,ibm,Africa,5.87953,8.21629
195,agua1252,Aguacateco,agu,North America,15.3307,-91.3153
196,agua1251,Aguano,aga,South America,-5.25,-75.8333
198,agua1253,Aguaruna,agr,South America,-5.30044,-77.9218
203,agun1238,Aguna,aug,Africa,7.49256,1.74452
205,agus1235,Agusan Manobo,msm,Papunesia,8.62731,125.742
206,agut1237,Agutaynen,agn,Papunesia,10.5328,119.655
207,agwa1247,Agwagwune,yay,Africa,5.81055,8.03166
210,ahan1244,Àhàn,ahn,Africa,7.44139,6.00896
211,ahan1243,Ahanta,aha,Africa,4.85147,-1.94657
216,ahin1234,Ahin-Kayapa Kalanguya,kak,Papunesia,16.321,120.90003
217,ahir1243,Ahirani,ahr,Eurasia,21.552,73.685
219,ahom1240,Ahom,aho,Eurasia,27.2778,88.464
220,ahte1237,Ahtena,aht,North America,61.7068,-144.889
225,aich1238,Ai-Cham,aih,Eurasia,25.4908,107.844
227,aigh1235,Aighon,aix,Papunesia,-5.99488,150.272
229,aika1237,Aikanã,tba,South America,-12.6695,-60.5353
